id,outcome,label,words
1,3a,positive,"complex, wood, undercut banks"
4,3a,positive,"substrate, stream bed, deflector enhanced, velocity, width"
12,2d,habitat extent,"vegetative, baseflow, flood"
13,3a,positive,"depth, wood"
13,3b,negative,"boulder, fine sediment"
14,3a,positive,"shelter, algae, boulder, substrate"
15,3a,positive,"wood, undercut bank, rootwad, near bank, gradient, distance"
16,3a,positive,"surface turbulence, substrate"
23,3a,positive,"shelter, shade"
24,3a,positive,surface turbulence
31,2c,temperature,"productivity, predation risk"
32,3a,positive,"wood, near bank, boulder"
38,3a,positive,"depth, velocity, riparian, substrate"
39,2b,bed stability,"sheer stress, wood, substrate stability, velocity, floodplain connectivity, shelter"
40,3a,positive,cover
43,3a,positive,"depth, distance, wood"
44,3a,positive,"boulder, wood, log jams, undercut bank, water surface tension, depth"
45,2a,velocity,"scour, bed mobility, wood, groyne"
45,2b,bed stability,"pool formation, wood, groyne"
46,2b,bed stability,"riparian, fine sediment deposition, scour"
47,3a,positive,"substrate, surface, overhead, depth, velocity"
50,3a,positive,"rocks, wood, undercut bank, vegetation"
51,3a,positive,"depth, velocity, substrate, wood, boxes, vegetation"
58,3a,positive,"depth, rock"
